Product Name,Price,URL
"HP Refurbished EliteBook Laptop 16GB RAM 256GB SSD Intel Core I5 14'' Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad",21800,
"HP Refurbished Windows 10PRO Activated Installed EliteBook 8460p Core I5, 8GB Ram, 500GB Office, Basic Software Installed+ FREE Wireless Mouse,+MOUSE PAD",14250,
"Lenovo Refurbished ThinkPad Yoga 11e Touch Screen Intel coi5 8th gen 8gb 256GB SSD 11.6""",25000,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL5EE2YHNAFAMZ-451007725&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""",17499,
"HP Refurbished 4GB Ram, 500GB HDD Core I5 EliteBook 8440p Windows 11Pro Installed Activated, Office Basic Software,Free Bag + Free Wireless Mouse + Charger + Mouse Pad",17500,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2FV9PVNAFAMZ-177079509&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth, HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad + Free Extension.",19999,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL4895HBNAFAMZ-426340083&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"Lenovo Refurbished T490s,touchscreen Intel Core I7 8th Gen, 16GB RAM, 512GB SSD",38999,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL5IA3KZNAFAMZ-455896789&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"Asus Vivobook Go 14 (E410KA), 14.0-inch HD, Anti-glare Display, 8GB DDR4 RAM, 256GB SSD, Intel® Celeron® N4500 Processor, Intel® UHD Graphics, Windows 11 Home.",32000,https://www.jumia.co.ke/customer/account/login/?tkWl=BR650CL52S03XNAFAMZ-451189220&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"Samsung Chromebook 4 – Intel Celeron N4000 - 11.6"" HD Storage 4GB RAM- 32GB SSD – Bluetooth – Camera - Chrome OS - Dark Silver - Refurb.(6 Months WRTY)",10999,
"HP ProBook X 360 11 G3 8GB RAM 256GB SSD 8TH Generation, Intel Pentium silver Quad core, 11.6 Inches Display Touchscreen 2 in 1 laptop",20999,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL3FWDLGNAFAMZ-287839808&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"HP REFURBISHED MT31 Mobile Thin Client, Intel Celeron 3867U, 13.3"" HD, 4GB RAM + 128GB SSD + 500GB HDD, Windows 11 Pro",14999,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL5Q8W05NAFAMZ-451168417&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
